N	M	R_coefficient	Q_coefficient
24	14	-7.637080085623678e-13	-2.378928915170378e-12
24	15	8.421250022185148e-13	1.371018299714016e-12
24	16	-1.2089874594036035e-12	2.131278062042316e-12
24	17	-3.274611234734562e-13	8.612074559402129e-13
24	18	-1.8805762632033514e-12	5.040392136733355e-13
24	19	-1.5867822519192799e-12	-9.020408962794093e-13
24	20	2.0059905141118037e-12	-9.261537193511456e-13
24	21	-1.0464862706762817e-12	-3.4902614235372516e-13
24	22	3.454379333575708e-13	-1.720319378139362e-12
24	23	1.2206662444485957e-13	2.982635972115554e-12
24	24	-1.275962947084608e-12	1.2500768123715704e-12
25	0	1.9818230131846097e-12	0.0
25	1	6.664168303849583e-13	-9.527310437833981e-13
25	2	-1.150317424182388e-13	9.373727649081391e-13
25	3	1.1047252235562703e-12	5.285316566184635e-13
25	4	-1.1624737700890365e-12	2.170422755225217e-12
25	5	1.3049324299757622e-12	-9.807101509149705e-13
25	6	3.977764472218612e-13	-3.841188533129932e-13
25	7	-8.71037272461625e-13	5.830171655260914e-13
25	8	4.1898875967983717e-13	7.718937696704056e-13
25	9	8.42528421883375e-13	-1.630861867788896e-12
25	10	4.370275804337823e-14	2.3817506271317554e-13
25	11	-2.4300526505059393e-12	-4.99437495570463e-13
25	12	-9.500442713809456e-14	3.124400347319084e-13
25	13	9.550898029485425e-13	-4.1347982949501645e-13
25	14	-5.567942118659363e-13	-2.630537196769762e-12
25	15	-1.9613734389090603e-12	-9.171300650493823e-13
25	16	-3.5322108095307765e-13	1.4638283720518014e-12
25	17	-3.392376771696783e-14	4.897552395386985e-13
25	18	-7.108130562319937e-13	7.367602864095593e-13
25	19	-2.1370791281279277e-12	-6.382229691555238e-13
25	20	1.4238410735449571e-12	6.060633191964425e-13
25	21	8.103940572833835e-13	-9.391386965818353e-13
25	22	1.4539419652990357e-12	-1.0282841097841095e-12
25	23	-1.1644326232652278e-12	-5.989980799613491e-13
25	24	-4.938594682176666e-13	1.2663555417368477e-12
25	25	-9.706419074540384e-13	7.522815473941243e-13
26	0	1.359818974405085e-12	0.0
26	1	9.105963665125204e-13	-3.175179397737385e-13
26	2	-1.962757716880375e-13	-4.408062742698187e-14
26	3	3.5296849280411755e-13	-1.3709424254695526e-12
26	4	-6.804433013338082e-13	2.1431204021368233e-12
26	5	-2.6217778598459763e-13	5.861119918814749e-13
26	6	9.990223851674366e-13	-7.190389508974334e-14
26	7	-2.0372510605190207e-13	-3.4833041046289944e-13
26	8	-9.762721871806343e-14	-1.394330152376282e-13
26	9	-4.974873508529748e-13	-1.1323585467039232e-12
26	10	5.19266609370733e-13	2.0763499344662477e-13
